,ID,COMPANY,PROVINCE,geometry,index_right,Latitude,Longitude
4624,12315576,Canadian Natural Resources Limited,BRITISH COLUMBIA,POINT (-120.26143648260664 55.29458067650805),0,55.29458067650805,-120.26143648260664
4632,12315584,Canadian Natural Resources Limited,BRITISH COLUMBIA,POINT (-121.38695310130572 57.39843396177912),0,57.39843396177912,-121.38695310130572
4635,12315587,Tourmaline Oil Corp.,BRITISH COLUMBIA,POINT (-120.25719545511362 56.576381004947386),0,56.576381004947386,-120.25719545511362
4640,12315592,Ovintiv Canada ULC,BRITISH COLUMBIA,POINT (-120.15107067962231 55.58599148557319),0,55.58599148557319,-120.15107067962231
4642,12315594,Ovintiv Canada ULC,BRITISH COLUMBIA,POINT (-120.32316714959701 55.71645086642038),0,55.71645086642038,-120.32316714959701
4643,12315595,Ovintiv Canada ULC,BRITISH COLUMBIA,POINT (-120.32316523267812 55.71631599119571),0,55.71631599119571,-120.32316523267812
4646,12315598,Ovintiv Canada ULC,BRITISH COLUMBIA,POINT (-120.55591482355307 55.8721721191373),0,55.8721721191373,-120.55591482355307
4647,12315599,Canadian Natural Resources Limited,BRITISH COLUMBIA,POINT (-120.34006597069285 55.373145197446874),0,55.373145197446874,-120.34006597069285
4648,12315600,Tourmaline Oil Corp.,BRITISH COLUMBIA,POINT (-120.74269380224837 55.81208294953193),0,55.81208294953193,-120.74269380224837
4655,12315607,Canadian Natural Resources Limited,BRITISH COLUMBIA,POINT (-121.4193273227765 57.10760334710212),0,57.10760334710212,-121.4193273227765
4657,12315609,Canadian Natural Resources Limited,BRITISH COLUMBIA,POINT (-121.41949119829313 57.10759373378892),0,57.10759373378892,-121.41949119829313
4658,12315610,PETRONAS Energy Canada Ltd.,BRITISH COLUMBIA,POINT (-122.2184425363839 56.945825178063664),0,56.945825178063664,-122.2184425363839
4659,12315611,Murphy Oil Company Ltd.,BRITISH COLUMBIA,POINT (-120.10122540197686 55.53752818831312),0,55.53752818831312,-120.10122540197686
4661,12315613,Canadian Natural Resources Limited,BRITISH COLUMBIA,POINT (-121.89777487474927 56.23461675127225),0,56.23461675127225,-121.89777487474927
4662,12315614,Shell Canada Limited,BRITISH COLUMBIA,POINT (-120.75784648117457 55.9548084394261),0,55.9548084394261,-120.75784648117457
4674,12315626,Canadian Natural Resources Limited,BRITISH COLUMBIA,POINT (-122.05056478297904 56.244344688208415),0,56.244344688208415,-122.05056478297904
